Entry	Taxonomic_lineage_PHYLUM	Taxonomic_lineage_SUPERKINGDOM	Taxonomic_lineage_CLASS	Gene_ontology_GO	Gene_ontology_biological_process	Gene_ontology_molecular_function	Gene_ontology_cellular_component	Gene_ontology_IDs	Protein_names	Protein_families	Cross_reference_eggNOG	Cross_reference_Gene3D	Cross_reference_HOGENOM	Cross_reference_OMA	Cross_reference_OrthoDB	Cross_reference_Pfam	Cross_reference_SMART	Cross_reference_SUPFAM	BRENDA_KM	BRENDA_PHO_DATA	BRENDA_KI	BRENDA_TO_DATA	BRENDA_IC50	BRENDA_TN	BRENDA_TS_DATA
A5ILB0	Thermotogae	Bacteria	Thermotogae	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]	None	GO:0004556; GO:0005975; GO:0043169	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	COG0366;	3.90.400.10;	CLU_006462_2_4_0;	CARTPMQ;	None	PF00128;	SM00642;	SSF51445;	None	8.5_count=1	None	98_count=1	None	None	None
P08144	Arthropoda	Eukaryota	Insecta	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	extracellular region [GO:0005576]	GO:0004556; GO:0005509; GO:0005576; GO:0005975	Alpha-amylase A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	CLU_013336_2_1_1;	None	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	0.13;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=1	7.2-7.5_count=1	None	54_count=1	None	280.0;starch_count=1;364.0;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=2	57.7_count=1
P29957	Proteobacteria	Bacteria	Gammaproteobacteria	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]	GO:0004556; GO:0005576; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	0.223;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=1	7.2-7.5_count=1	None	29_count=1	None	179.0;starch_count=1;675.0;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=2	44.1_count=1
H2N0D4	Chordata	Eukaryota	Actinopteri	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]	GO:0004556; GO:0005576; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	KOG2212;	2.60.40.1180;	CLU_013336_2_1_1;	FRYAYDL;	665362at2759;	PF00128;PF02806;	SM00642;SM00632;	SSF51445;	None	7_count=1	None	50_count=1	None	None	55_count=1
T1WDH2	Ciliophora	Eukaryota	Spirotrichea	cellular anatomical entity [GO:0110165]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	cellular anatomical entity [GO:0110165]	GO:0004556; GO:0005509; GO:0005975; GO:0110165	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;	SM00642;	SSF51445;	None	9_count=1	None	35_count=1	None	377.0;starch_count=1;619.0;starch_count=2;880.0;starch_count=3	40_count=1;50_count=2
T1WE96	Ciliophora	Eukaryota	Spirotrichea	cellular anatomical entity [GO:0110165]; alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	cellular anatomical entity [GO:0110165]	GO:0004556; GO:0005509; GO:0005975; GO:0110165	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;	SM00642;	SSF51445;	None	9_count=1	None	20-25_count=1	None	1466.0;starch_count=1;718.0;starch_count=2;982.0;starch_count=3	40_count=1;50_count=2
H9B4I9	Firmicutes	Bacteria	Bacilli	extracellular region [GO:0005576]; alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]	extracellular region [GO:0005576]	GO:0004556; GO:0005576; GO:0005975; GO:0046872	Alpha-amylase (EC 3.2.1.1) (Fragment)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;	SM00642;SM00632;	SSF51445;	None	None	None	None	None	None	62.3_count=2
A0A060DAC6	None	None	None	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005975	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	None	8-9_count=1	None	10-15_count=1	None	0.03;starch_count=1;0.042;amylopectin_count=2;0.15;amylopectin_count=3;0.156;starch_count=4	34_count=1;55_count=3
Q47R94	Actinobacteria	Bacteria	Actinomycetia (high G+C Gram-positive bacteria)	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; starch binding [GO:2001070]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; metal ion binding [GO:0046872]; starch binding [GO:2001070]	None	GO:0004556; GO:0005975; GO:0046872; GO:2001070	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	COG0366;	2.60.40.10;2.60.40.1180;	CLU_013336_3_1_11;	QSWGTDW;	99080at2;	PF00128;PF02806;PF00686;	SM00642;SM00632;SM01065;	SSF49452;SSF51445;	0.26;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=1	7.2-7.5_count=1	None	72_count=1	None	1457.0;starch_count=1;153.0;4-nitrophenyl alpha-D-maltoheptaoside-4,6-O-ethylidene_count=2	74_count=1
Q5UZY3	Euryarchaeota	Archaea	Halobacteria	hydrolase activity, acting on glycosyl bonds [GO:0016798]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	hydrolase activity, acting on glycosyl bonds [GO:0016798]	None	GO:0005975; GO:0016798	Alpha amylase (EC 3.2.1.-) (DUF3459 domain-containing protein)	Glycosyl hydrolase 13 family	arCOG02948;	2.60.40.10;2.60.40.1180;	CLU_024673_0_0_2;	TPDWVKH;	None	PF00128;PF11941;	SM00642;	SSF51445;	None	None	None	None	None	None	None
D8J7H2	Euryarchaeota	Archaea	Halobacteria	hydrolase activity [GO:0016787]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	hydrolase activity [GO:0016787]	None	GO:0005975; GO:0016787	Alpha amylase catalytic region (Alpha amylase catalytic subunit)	Glycosyl hydrolase 13 family	arCOG02948;	2.60.40.1180;3.90.400.10;	CLU_006462_2_3_2;	PFQWTGG;	12284at2157;	PF00128;PF11941;	SM00642;	SSF51445;	None	None	None	None	None	None	None
Q4A3E0	Euryarchaeota	Archaea	Halobacteria	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005975	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	TVFYDHW;	None	PF00128;PF09154;	SM00642;	SSF51445;	None	None	None	None	None	None	None
L8B068	Euryarchaeota	Archaea	Halobacteria	cytoplasm [GO:0005737]; alpha-1,4-glucosidase activity [GO:0004558]; alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]; amylopectin catabolic process [GO:2000897]; carbohydrate catabolic process [GO:0016052]; glycogen catabolic process [GO:0005980]; glycogen metabolic process [GO:0005977]; starch catabolic process [GO:0005983]	amylopectin catabolic process [GO:2000897]; carbohydrate catabolic process [GO:0016052]; glycogen catabolic process [GO:0005980]; glycogen metabolic process [GO:0005977]; starch catabolic process [GO:0005983]	alpha-1,4-glucosidase activity [GO:0004558]; alpha-amylase activity [GO:0004556]; cation binding [GO:0043169]	cytoplasm [GO:0005737]	GO:0004556; GO:0004558; GO:0005737; GO:0005977; GO:0005980; GO:0005983; GO:0016052; GO:0043169; GO:2000897	Alpha-amylase MalA (EC 3.2.1.1)	Glycosyl hydrolase 13 family	arCOG02948;	2.60.40.10;2.60.40.1180;	None	None	5581at2157;	PF00128;PF02806;	SM00642;	SSF51445;	None	7.5_count=1;6.5_count=2	None	37_count=1;45_count=2	None	None	55_count=1
Q2QC88	Euryarchaeota	Archaea	Thermococci	calcium ion binding [GO:0005509]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	calcium ion binding [GO:0005509]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]	None	GO:0004553; GO:0005509; GO:0005975	Alpha-amylase	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	FFHWYYP;	None	PF00128;PF09154;	SM00642;	SSF51445;	None	5.5-6_count=1	None	80_count=1	None	None	80_count=1;90_count=2
O93647	Euryarchaeota	Archaea	Thermococci	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	alpha-amylase activity [GO:0004556]; calcium ion binding [GO:0005509]	None	GO:0004556; GO:0005509; GO:0005975	Alpha-amylase (EC 3.2.1.1)	Glycosyl hydrolase 13 family	None	2.60.40.1180;	None	None	None	PF00128;PF09154;	SM00642;	SSF51445;	None	5-5.5_count=1	None	75-85_count=1	None	None	None
